name,number,description,category
Amara Collection,6409,"Fun, funky and functional, the Amara Collection will provide your home with interesting conversation pieces and a look that is as unique as you are. With the turn of a crank, the adjustable table (6414) can be raised or lowered to suit your individual needs. Black iron is complimented by the bold red and white hued design of the “Atellier Loft” print that appears on the dining tabletop and carries its theme to the caster supported cocktail table (6409) – paired with our tractor seat adjustable iron barstool (6412), you will have created the creative focal point for your dining space.",occasional
Amara Collection,6472*,"Fun, funky and functional, the Amara Collection will provide your home with interesting conversation pieces and a look that is as unique as you are.",occasional
Daisy Collection,710-30*,Daisy Collection combines superb visual appearance and fine quality that you need in your living room area. The table group features an elegant tulip base and clear glass top to provide an open airy feel. Constructed of hardwood veneers in refreshing espresso finish.,occasional
Santos Collection,8079-30,"Blending the elements of Craftsman styling, industrial design, and natural wood tones to achieve the unique look of the Santos Collection. The design of this occasional offering is enhanced by distressing its solid rubberwood table tops, which cover in natural brown finish allowing for the grain to capture one’s eye. Staple accenting on the table’s edge hints at a rough-hewn industrial look that has been softened for your living room.",occasional
Veloce Collection,8219-30*,"Bringing to mind the sleek styling of an Italian race car, bold contemporary styling creates eyecatching drama for your living room with the Veloce Collection. Color blocked black and ivory bi-cast vinyl covers the ultra-low profile glass-topped cocktail table, while chrome legs provide support.",occasional
Radley Collection,8324-4,"Refined for placement in the most traditional of homes, yet inviting enough for more casual settings, the turned legs ottoman of Radley Collection will be a statement to your preference for classic style.",occasional
Alamosa Collection,8335-4,Transitionally styled for your home is the Alamosa Collection. Unfettered design allows for placement in a number of casual living room settings. The ottoman features diamond patterned fabric.,occasional
Temptation Collection,8337FA-4,Modern classic styling paired with glamorous elements creates a unique addition to your house in the Temptation Collection. The ottoman in steel blue quatrefoil pattern is accented with oversized nailheads.,occasional
Florentina Collection,8412-30,"The elaborate designs of Old World Europe are treated with a distinct modern touch in the Florentina Collection. The marble topped tables feature a delicate gray hue that accents the silver, with gold undertone finish of the wood base. With details such as shell and acanthus leaf scrolling and cabriole legs, the traditional look of the collection is solidified.",occasional
Gowan Collection,8477-4,"Presenting the Gowan Collection, the ottoman framing is accented with bold nailhead and covered in geometric floral pattern fabric.",occasional
Croydon Collection,9815-30,"Elegantly designed for the traditional home, the Croydon Collection masterfully blends classic touches to create an occasional offering that will be the perfect fit for your living room. Birch veneer and poplar carvings are finished in a rich cherry and feature gold tipping for an added touch of elegance. Cabriole legs along with scroll accent lend dramatically to the profile of the collection. Matching seating options are available in the collection.",occasional
