name,number,description,category
Abbeville Collection,1856-1*,"The ever popular Louis Philippe style is updated with functional accoutrements in the Abbeville Collection. Button and bale hardware grace the drawer fronts of each piece in the collection, while unbeknownst to the casual observer, there is hidden drawer storage on the nightstand, dresser and chest – each easily accessible with a pull of the front top frame. The sleigh bed furthers the timeless look of this adult collection, as well as youth. Okume veneers are elegantly highlighted with a traditional brown cherry finish.",bedroom
Abbeville Collection,1856NG-1*,"The ever popular Louis Philippe style is updated with functional accoutrements and a glamorous touch in the Abbeville Collection. Button and bale hardware grace the drawer fronts of each piece in the collection, while unbeknownst to the casual observer, there is hidden drawer storage in the nightstand, dresser and chest – each easily accessible with a pull of the front top frame. The sleigh bed furthers the timeless look of this collection. Okume veneers are elegantly highlighted with a subtle gold finish. The collection is offered in a variety of bed sizes to fit perfectly in your space. Also available in a warm cherry finish.",bedroom
Owens Collection,1857-1*,"With the aesthetic of modern traditional styling, the Owens Collection will blend effortlessly into your chic bedroom. Trend-forward alligator embossing features prominently on the case good fronts. The matching black alligator bi-cast vinyl accented bed with brushed nickel nail head accenting further lends to the distinct look of the headboard and footboard. Frame design case goods feature brushed nickel hardware. Harmonizing the overall look of the collection and lending a classic touch to the design is the warm cherry finish.",bedroom
Marceline Collection,1866-1*,"Your bedroom reflects your personal style – Allured by trend forward design, the Marceline Collection satisfied your desired look. The striking gray rub-through or the newly offered gray water-based finishes of the collection feature hand distressing for a subtle weathered look. Geometric molding provides a distinct contrast to the traditionally framed case goods. Substantially sized turned legs enhance the look of the oversized case pieces and mansion headboard.",bedroom
Marceline Collection,1866GY-1*,"",bedroom
Florentina Collection,1867-1*,"The elaborate designs of Old World Europe are treated with a distinct modern touch in the Florentina Collection. The eye-catching jewel tufting of the headboard reflects with a brilliance intended to accentuate the dusky taupe coloring of the faux silk and the rich silver with gold undertone finish of the wood veneer. Bombe case goods present their distinct shape as a unique focal point in your elegant bedroom. With details such as shell and acanthus leaf scrolling, carved cabriole feet and delicately designed knob hardware, the traditional look of the collection is solidified.",bedroom
Mont Belvieu Collection,1869-1*,"When looking to furnish your traditional home, you choose pieces that are timeless. The classic look of the dark cherry finished Mont Belvieu Collection will allow you to fulfill your design desire. Pairing the panel bed of the collection with the traditional look of the Louis Philippe styling, instantly creates a classic look to your bedroom. Carved finials and squared pilasters provide traditional accent to the bed, as does the shell and scroll motif of the headboard and footboard that carries over to the collection’s mirror.",bedroom
Brice Collection,1880BRW-1,"Cleverly packaged in one box for convenient shipping, assembly, and function, the Brice Collection’s design lends to a multitude bedroom décors. From bold to more subtle hues, the fabric color options of this bed allow for your personal style to shine through. Offered in: blue, brown, gray, and red.",bedroom
Brice Collection,1880BUE-1,"Cleverly packaged in one box for convenient shipping, assembly, and function, the Brice Collection’s design lends to a multitude bedroom décors. From bold to more subtle hues, the fabric color options of this bed allow for your personal style to shine through. Offered in: blue, brown, gray, and red.",bedroom
Deleon Collection,1881PU-1*,"Designed for your modern home, the DeLeon Collection allows for your creativity and space allowance to create the room of your dreams. Serving as the canvas of your bedroom makeover, the dark brown bi-cast vinyl bed features a low-profile footboard and a dramatic diamond stitch pattern that adorns the headboard. Let your creativity flow with the addition of the DeLeon Collection.",bedroom
Bryndle Collection,1882N-1*,"The modern traditional styling of the Bryndle Collection is characterized by the button-tufted headboard and footboard, as well as the nail head accenting on headboard. Further complimenting the design is the dark gray fabric that covers.",bedroom
Wade Collection,1883N-1*,"Drawing inspiration from traditional Danish modern design, the neutral gray tone of the Wade Collection lends to the contemporary feel. The low-profile bed features a button-tufted shelter headboard.",bedroom
Delphine Collection,1884N-1*,"Modern traditional framing is utilized to create the look of the Delphine Collection. Neutral toned fabric is accented with double trim high-polish nail head accenting, lending an air of sophisticated elegance to this upholstered bed offering.",bedroom
Zaira Collection,1885N-1*,The Zaira Collection offers modern traditional design showcasing beautiful nail head accenting headboard which elegantly contrasts its dark gray fabric.,bedroom
Kase Collection,1888N-1*,"",bedroom
Cadmus Collection,1890N-1*,"Offered in dark gray fabric, the Cadmus Collection tufting headboard will provide you with a versatile option for your contemporary home.",bedroom
Thain Collection,1891N-1*,"The unique design of the Thain Collection will serve as the focal point in your newly re-designed bedroom. The clipped base styling of the headboard provides an almost geometric look to the bed. Button accents feature prominently on the headboard and footboard, while the dark gray fabric covering provides the final statement for this bold bed offering.",bedroom
Chardon Collection,1894N-1*,"Sophisticated in its simplicity, the Chardon Collection will help to create the bedroom sanctuary of your dreams. The mansion style headboard features winged sides that provide an understated traditional touch to the modern deep gray fabric-covered selection. Tufting on the headboard and nailhead accent on the footboard further the trendy look of this bed.",bedroom
Chasin Collection,1896N-1*,"At home in a number of room settings, the Chasin Collection is styled to fit your needs. With an unfettered design in a neutral gray tone fabric, the bed will be the perfect platform for your restful sleep.",bedroom
Toulouse Collection,1901-1*,"With dramatic flair, the bed of the Toulouse Collection immediately draws your eyes to the luscious that make of the design of this elegant bedroom suite. The case goods feature curves that emboldened by the two-tone high polished graphite gray and chrome drop pull hardware. Shagreen embossing vinyl provides a unique texture to the champagne finish of both the bed and case goods. The button-tufted padded headboard insert is featured in a platinum bi-cast vinyl that further lends to the glamourous look of the collection.",bedroom
Beechnut Collection,1904-1*,"Blending the elements of contemporary design and rustic aesthetic, the Beechnut Collection is a unique addition to your master, youth or guest bedroom. Dark under-paneling serves to highlight the light finish of the embossed faux-wood veneer of the raised panels on the bed and case goods. Contrasting cup hardware punctuates each drawer front.",bedroom
Beechnut Collection,1904GY-1*,"Blending the elements of contemporary design and rustic aesthetic, the Beechnut Collection is a unique addition to your master, youth or guest bedroom. Dark under-paneling serves to highlight the two available finish options of the collection – gray or natural – both enhancing the embossed faux-wood veneer of the raised panels on the bed and case goods. Contrasting cup hardware punctuates each drawer front.",bedroom
Valpico Collection,1905-1*,Modern contemporary styling is perfectly executed in the design of the Valpico Collection. A cool gray with olive undertone finish is utilized to achieve a sleek appearance only to be enhanced by the clean lines of the case goods and bed. Slightly angled square polished chrome hardware and louvered paneling on the bed further accent the collection.,bedroom
Terrace Collection,1907-1*,"The traditional shape and accenting of Craftsman style is perfectly achieved in the design of the Terrace Collection. The bedroom group is offered in a rustic burnished oak or antique white finish that accentuates the natural characteristics of the solid poplar wood lends to the design, while antiqued bronze finished hardware adorns each case piece. Drawers and door storage provide ample storage space for your personal items.",bedroom
Terrace Collection,1907W-1*,"The traditional shape and accenting of Craftsman style is perfectly achieved in the design of the Terrace Collection. The bedroom group is offered in a rustic burnished oak or antique white finish that accentuates the natural characteristics of the solid poplar wood lends to the design, while antiqued bronze finished hardware adorns each case piece. Drawers and door storage provide ample storage space for your personal items.",bedroom
Summerlin Collection,1908-1*,"Classic elements of contemporary design are executed to create the look of the Summerlin Collection. Modified convex lines provide bold detailing to the case good drawer fronts, while brushed nickel hardware compliments. The dual panel black bi-cast vinyl padded headboard inserts feature detail stitching and provide contrast to the espresso finish of the collection.",bedroom
Terron Collection,1909RF-1*,"Redefining, soft contemporary design is achieved by blending classic elements to create the look of the Terron Collection. The bow-fronted case goods and sleigh bed feature book-matched mindy veneer that is beautifully highlighted by a medium oak finish. Off-set drawers on the dresser and the floating top design of each case pieces provides unique design character that makes this collection a perfect fit for your home.",bedroom
Granbury Collection,1911-1*,"Classic traditional styling is updated for your home in the Granbury Collection. Design features that define this timeless look; pewter finish button and bale hardware, picture framed fronts, tapered feet, and routed pilasters play against the casual gray rub-through finish, creating a look that is both modern and stately.",bedroom
Chrysanthe Collection,1912-1*,"With bold curves that are softened with elegant accentuation, the look of the Chrysanthe Collection is nothing short of utterly feminine. Clipped corner case tops are supported by dramatically curved canted pilasters that give way to the scroll-accented base moldings of each piece in the collection. Drawer fronts are punctuated by decorative metal hardware. The headboard rises in elegant fashion cresting with heavily scrolled framing that perfectly complements the case pieces. A water based finish highlights the oak veneers over oak solids.",bedroom
Anika Collection,1915-1*,"Drawing inspiration from Danish mid-century modern design, the Anika Collection is a stylish addition to your bedroom. The curved framing of each case piece is perfectly accentuated by polished chrome hardware and features soft-close mechanisms on the doors and storage drawers for quiet and sure closure. Offered alongside the traditional case pieces is a four-door chest. Ivory bi-cast vinyl covers the padded wood rail-topped headboard, providing stark contrast to the light ash finish over ash veneers. All pieces in the collection feature tapered legs that are signature to this classic look.",bedroom
Allura Collection,1916-1*,"Glamour reigns in the design of the Allura Collection. Framing each piece is a decorative beveled mirror accent that enhances the illumination from the touch-engaged LED back-light of the headboard and mirror, as well as the under-light of the night stand. Alligator embossing and high polished crystal-enhanced hardware boldly accent the available silver or black finish of the collection.",bedroom
Allura Collection,1916BK-1*,"Glamour reigns in the design of the Allura Collection. Framing each piece is a decorative beveled mirror accent that enhances the illumination from the touch-engaged LED back-light of the headboard and mirror, as well as the under-light of the night stand. Alligator embossing and high polished crystal-enhanced hardware boldly accent the available silver or black finish of the collection.",bedroom
Allura Collection,1916GY-1*,"Glamour reigns in the design of the Allura Collection. Each piece is framing a decorative beveled mirror accent that enhances the illumination from the touch-engaged LED back-light of the headboard and mirror, as well as the under-light of the night stand. Alligator embossing and high polished crystal elevates hardware boldly accent the newly available gray finish - over mindy veneer - of the collection. The Allura Collection is also available ineither a Silver or Black finish. Providing additional glamour and functionality to your bedroom are the vanity, stool and decorative bench. The vanity features behind-the-mirror jewelry hooks, drawer storage, tri-fold mirror and a glass shelf that connects the drawer units. Both the bench and vanity stool feature crystal button tufting for an added hint of sparkle.",bedroom
Ashden Collection,1918-1*,"The Ashden Collection creates visual interest with sophisticated modern traditional accents and elegant lines. The driftwood finish that enhances the beautiful cathedral grain of mindy veneer is utilized to provide contrast with the high polish of the nail heads and hardware that accents the collection. Distinctive scallop shaping graces subtle molding of the case pieces which carries over to the design of the base rail and feet of the bed. Neutral button-tufted fabric headboard is highlighted with subtle shimmer, further lending to the sophisticated yet understated elegance of the collection.",bedroom
Antoinetta Collection,1919-1*,"Traditional elements of Old World European styling are blended to create the look of the Antoinetta Collection. Acanthus leaf motif as well as bead and heavily carved moldings serve as the initial draw to the traditional design. Canted pilasters, marble tops, sunburst medallion, and classic button and bale hardware further accent the case goods. Cherry veneers and burl inlay are highlighted by a warm cherry finish with gold tipping.",bedroom
Antoinetta Collection,1919NC-1*,"Traditional elements of Old World European styling are blended to create the look of the Antoinetta Collection. Acanthus leaf motif as well as bead and heavily carved moldings serve as the initial draw to the traditional design. Canted pilasters, marble tops, sunburst medallion, and classic button and bale hardware further accent the case goods. The heavily framed headboard features champagne-tone bonded leather with crystal button tufting. Birch veneers is highlighted by a champagne finish with accentuating tipping.",bedroom
Farrin Collection,1924-1*,"Bold framing combined with unfettered design creates the look of the Farrin Collection. A dark rustic pine finish covers pine solids and veneers lending a natural look and texture to the bed and accompanying case goods. Dark finished metal knob hardware punctuates each drawer front, while wide pilaster framing lends a substantial accent to the collection.",bedroom
Sorrel Collection,1927-1*,"As a unique addition to a bedroom with either modern or rustic aesthetic, the Sorrel Collection will surely turn heads. Poplar solids feature a heavily burnished finish in this cleanly designed offering. Unfettered framing is boldly accented with two-tone exposed dovetail joints, metal pull hardware on the drawer fronts, and tapered legs that provide strong support.",bedroom
Celandine Collection,1928-1*,"The look of traditional design is updated for the modern traditional home in the Celandine Collection. Crystal tufting immediately draws the eyes to the pearlized finish of the bi-cast vinyl headboard insert, while high polished knob hardware stands out from the silver finish of the collection. With each of the aforementioned elements, subtle glamour will be achieved in the design of your elegant bedroom.",bedroom
Tandie Collection,1933-1*,"The art deco glamour of the Tandie Collection is defined by subtle elements combing to create a sophisticated option for your elegant bedroom. At first glance your eye catches the delicate highlights of the champagne finish, the highs and lows playing effortlessly off the tight grain of the lizard patttern shagreen fronts, while platinum metallic finished hardware lends subtle contrast to the elegantly framed drawers. The functional drawer footboard provides additional space within your bedroom for much needed storage. The button tufted headboard is covered in pearl toned faux silk vinyl to provide additional glamour to this stylish bedroom collection.",bedroom
Bonaventure Park Collection,1935PN-1*,"With styling that exemplifies traditional design, the Bonaventure Park Collection exudes sophistication and refined elegance. Cantered pilasters frame the serpentine fronted case goods, while egg and dart molding, acanthus leaf motif and bale, and button hardware lend to the traditional look. Burl inlay creates beautiful contrast to the gold-highlighted warm cherry finish of the collection. Button tufting features prominently on the traditional low profile bed, while the footboard with heavy wood framing.",bedroom
Vestavia Collection,1936-1*,"The contemporary styling of the Vestavia Collection provides a unique platform from which to redecorate your bedroom. Faux wood printed veneer provides subtle texture. And a gray finish perfectly contrast to the dark brown base rails of the case pieces and back panels of the headboard and footboard. Clean lines lend to the angular modern look are enhanced by the horizontal brushed nickel hardware. Offered in both adult and youth beds, this collection provides great flexibility to your rooms at home.",bedroom
Odette Collection,1937-1*,"Elegantly designed in the modern traditional style, the Odette Collection will stand as an example of your preference for timeless sophistication. High-polished nickel hardware adds an elegant touch to the case pieces, as does the mirrored door panels of the dresser. The headboard features a center mounted, raised and padded with platinum bi-cast vinyl covered panel with nail head trim. Creating a thoroughly modern twist is the pearlized champagne finish that ties the classic look together.",bedroom
Pelmar Collection,1944-1*,"Reed accenting and subtle design pair with a dark walnut finish lending a sophisticated take on contemporary design in the Pelmar Collection. Neutral tone fabric covers the horizontal wood slat-accented headboard while, oval, polished nickel hardware accents each case piece.",bedroom
Chaumont Collection,1945-1*,"Traditional styling takes elegant form in the Chaumont Collection. Classic design elements such as scrolled moldings, bale and knob hardware, bun feet, and acanthus leaf motif on the pilasters merge to create the look. Standing as the focal point of collection is the stately sleigh bed. Decorative scroll molding frames and a dark brown, button-tufted bi-cast vinyl insert headboard provide eye-catching detail. Oak and burl veneers further the traditional style as does the gold-tipped burnished brown cherry finish.",bedroom
Verlyn Collection,1946-1*,"Traditional from the canopy of the four post bed to the burl drawer fronts and turned feet of the case goods, the Verlyn Collection provides an elegant addition to your bedroom space. A classic cherry finish is utilized to highlight the cherry and ash burl veneers. Knob hardware provides refined contrast to the drawer fronts, while turned feet rise to support each case piece. The metal canopy rail that encircles the bed is supported by finial-topped turned posts, lending to the grandeur of the collection.",bedroom
Lindley Collection,1947-1*,"Modern traditional styling is lent a rustic touch in the design of the Lindley Collection. Walnut veneers over solid wood are finished in dusty gray to complement the rich tone of the natural wood look. Round pull hardware punctuates each drawer front, while graceful lines lend a distinctly feminine touch. Button-tufting features prominently on the padded wood-framed headboard and footboard.",bedroom
Frederica Collection,1949-1*,"At home in the most traditional of spaces, the Frederica Collection will provide the classic look you are seeking to add to your bedroom. The low-post bed of the group is complemented by the traditionally accented case goods. Classic bale and knob hardware front each drawer while bun feet support. A dark, burnished cherry finish furthers the traditional look of the Frederica Collection.",bedroom
Bowers Collection,1952-1*,Blending the look of casual contemporary design with a rusticated aesthetic creates the unique feel of the Bowers Collection. Stacked off-set blocking design provides dramatic accent to the bed and carries over to the solid poplar fronts of the drawers. Providing additional accenting to the collection is the rustic java brown finish and the dark finish of the wood horizontal drawer hardware.,bedroom
Lonan Collection,1955-1*,"With a hint of weathering so popular in industrial styling, the Lonan Collection will fit into the rustic contemporary aesthetic that you look to achieve in your bedroom. Melamine laminate mimics the look of sun-bleached wood with a darker under-hue providing subtle contrast to the design of the group, with dark finished metal handles providing additional contrast. The collection is offered in twin, full, queen, eastern king and california king for perfect placement in your home.",bedroom
Jerrick Collection,1957-1*,Classic transitional design serves as a base for the natural qualities of the solid wood utilized to create the rustic look of the Jerrick Collection. Metal hardware furthers the authentic rustic look while a burnished finish serves to highlight the wood grain while allowing each plank to serve as a unique accent to the overall design.,bedroom
Bevelle Collection,1958-1*,"Modern glamour is exemplified in the design of the Bevelle Collection. Acrylic crystals frame each piece in the collection, reflecting the light to create eye-catching drama. The silver finish serves as the perfect complement to the high-polish decorative knob hardware and medallion accents. A stylish mirrored vanity, with coordinating stool, provides additional function to the collection. Providing contrast to finish is the dark gray bi-cast vinyl, button-tufted headboard panel. A coordinating dining room is also available.",bedroom
Erwan Collection,1961-1*,"Taking a nod from contemporary design, the look of the Erwan Collection is a versatile choice for the modern home. A rich espresso finish highlights the okume veneer and beveled drawer fronts which are punctuated with gunmetal finished hardware and bold framing that blend together to create this soft contemporary bedroom offering.",bedroom
Yorklyn Collection,1966-1*,"With accenting that allows for the fusion of soft contemporary design and traditional aesthetic, the Yorklyn Collection is a sophisticated choice for your bedroom. Classic tweed mensware styling is the focal point of the button-tufted, hand-pleated cove headboard and low-profile footboard. Bow-fronted case goods feature brushed nickel handle and knob hardware. For additional visual interest, the dresser features an asymmetrical drawer configuration that is sure to catch your eye. The classic cherry finish over cherry veneers refined the look of this bedroom offering.",bedroom
Pell Collection,1967W-1*,"Ultra-modern from the straight lines that defines the profile to the two-tone espresso and white finish, the Pell Collection is a stylish choice for your bedroom. Bold finish contrast is rather contrasted by nickel hardware for the ultimate in contemporary accenting. Elevating the functionality of the collection is the bookcase headboard and off-set storage mirror compartment.",bedroom
Branton Collection,1968-1*,The rustic modern look of the Branton Collection is a unique choice for your bedroom. An antique brown finish highlights the pine veneer while the black base rails that support the collection provide subtle contrast for a rustic industrial look. Unfettered framing allows for the veneer pattern to provide decorative accent. Horizontal hardware accents each case piece.,bedroom
Aviana Collection,1977-1*,"Created for the traditional bedroom, the Aviana Collection is a study in classic styling and modern presentation. An antiqued gray finish provides an open canvas for your personal decorative touch. Carved feet support classically styled case goods – each featuring teardrop hardware with an antiqued pewter finish. Raised panels further the traditional look of the case piece drawer fronts. The collection is offered in twin, full, queen, eastern king and california king for perfect placement in your home.",bedroom
Elsmere Collection,1978W-1*,"Traditional elegance is captured in the design of the Elsmere Collection. From the feminine shape of the bomber case goods to the flair of feathered scroll that graces each piece of the bedroom suite, the romantic classicism of French provincial is perfectly executed. An antique gray finish is utilized to highlight the pine solids and tropical veneers with subtle silver tipping accents. Antiqued hardware with an elegant design that so perfectly complements the look of the group provides additional decorative accenting.",bedroom
Leavitt Collection,1990-1*,Unfettered transitional styling creates a unique offering for your bedroom in the Leavitt Collection. The framing of the case goods and bed lend an air of understated sophistication that is enhanced by the antiqued bronze pull hardware and brown cherry finish that graces the mindy veneer of the collection.,bedroom
Leavitt Collection,1990RF-1N*,"Offering an unfettered transitional styling, Leavitt Collection creates a unique and modern atmosphere in your bedroom. The framing of the case goods and bed lend an air of understated sophistication that is enhanced by the antiqued bronze pull hardware and brown cherry finish that graces the mindy veneer of the collection. The headboard’s gray fabric insert features button tufting that lends a subtle, sophisticated accent to the look of the collection.",bedroom
Potrero Collection,2024-1HB,"Versatile placement options, while utilizing minimum space makes the Potrero Collection the right choice for your home. Three styles, each offered in a single cover are available: Gray fabric with vertical channel seaming, black bi-cast vinyl with X-stitch pattern and brown fabric with square pattern.",bedroom
Potrero Collection,2025-1HB,"",bedroom
Potrero Collection,2026PU-1HB,"",bedroom
Woodrow Collection,2042-1*,Industrial design is subtly used to achieve a cool look for your bedroom in the Woodrow Collection. Dark metal hardware and corner banding with rivet look lend to the casual look of this bedroom group. Melamine laminate features a weathered-wood look that furthers the intended design. Black bi-cast vinyl accents of the headboard provides distinct complementing contrast to the finish of the collection.,bedroom
Garcia Collection,2046-1*,"Transitionally styled for your bedroom is the Garcia Collection. Created for versatile placement within a number of environments the louvered panel accents, distinct framing along with a cool gray finish over birch veneer combine to provide a clean palate for your personal decorative style. Nickel knob hardware provides subtle, yet distinct, contrast to the fronts of each case piece. The available desk is a functional addition to the collection with keyboard tray and drawer storage. The collection is offered in twin, full, queen, eastern king and california king for the perfect fit within your bedroom.",bedroom
Avelar Collection,2100-1*,The Avelar Collection features a unique bed in dark brown bi-cast vinyl that acts as a perfect match to any contemporary case pieces.,bedroom
Beaumont Collection,2111-1*,"Clean contemporary design is the inspiration for the Beaumont Collection. Achieving the desired design of your home will require pieces that allow for your taste to shine. Contemporary route lines give way to rounded pilasters on the case pieces, while carrying over to the framed bed. Satin nickel hardware follows the lines of each case piece. Cherry veneers and the high pressure laminate tops are finished in a medium brown cherry.",bedroom
Sanibel Collection,2119BK-1*,"As breezy as a day at the beach, the modern cottage styling of the Sanibel Collection will meld effortlessly with your casual personal style. Diamond overlay curves throughout the entire collection – capping the headboard then carrying on to the gracefully bowed case pieces. The versatility of the design lends to the perfect placement in a master suite, guest or child’s bedroom. The collection is offered in black or white.",bedroom
Sanibel Collection,2119W-1*,"As breezy as a day at the beach, the modern cottage styling of the Sanibel Collection will meld effortlessly with your casual personal style. Diamond overlay curves throughout the entire collection – capping the headboard then carrying on to the gracefully bowed case pieces. The versatility of the design lends to the perfect placement in a master suite, guest or child’s bedroom. The collection is offered in black or white.",bedroom
Townsford Collection,2124-1*,The best of traditional style has been carefully assembled to create your ultimate bedroom suite. The Townsford Collection features unique turnings on the headboard and footboard posts with classic scalloped framing rounding out the bed design. Antiqued pewter hardware accents each case piece as does the bun feet that provide support. The rich dark cherry finish on cherry veneer further compliments this elegantly understated offering.,bedroom
Kasler Collection,2135-1*,"Understated elegance flows effortlessly through the gentle curves of the Kasler Collection. The medium walnut finish on walnut veneers is the first break with contemporary tradition that this unexpected gem makes. Bentwood drawer-fronts, accented with polished graphite gray hardware, create graceful curves that carry from each case piece to the bold slope of the bed rails. Sleigh headboard and low-profile footboard lend to the contemporary European feel of the collection.",bedroom
Edina Collection,2145-1*,"Enhancing the contemporary design of your bedroom is the focus of the Edina Collection. The espresso-hinted cherry finish builds on the unexaggerated lines of this bedroom suite, blended with the tufted vinyl inserts on the headboard and the polished nickel finish hardware culminates to achieve the modern look. Whether it is a hard contemporary or a softer transitional feel, your d閏or design options are wide open with this adult, as well as youth, bedroom collection.",bedroom
Kari Collection,2146-1*,Complimenting the clean design of your home is the Kari Collection. Straight lines dominate the design of this transitional suite. The headboard features distinct framing that is carried throughout the design of the case pieces-each accented with subtle knob hardware. The warm brown cherry finish compliments a number of design schemes allowing for flexible placement in any of your bedrooms.,bedroom
Mayville Collection,2147-1*,"Traditional in design and modest in scale, the elegant Mayville Collection takes its design inspiration from the classic Louis Philippe styling. Featuring four distinct finishes – burnished brown cherry, white, black, and the newly offered stained gray – with all of the traditional flare unique to the style – antiqued metal bale hardware and distinct framing – this collection is a perfect addition to your traditional adult or youth bedroom.",bedroom
Mayville Collection,2147BK-1*,"Traditional in design and modest in scale, the elegant Mayville Collection takes its design inspiration from the classic Louis Philippe styling. Featuring four distinct finishes – burnished brown cherry, white, black, and the newly offered stained gray traditional flare unique style, antiqued metal bale hardware and distinct framing. Make this collection a perfect addition to your traditional adult or youth bedroom.",bedroom
Mayville Collection,2147SG-1*,"Traditional in design and modest in scale, the elegant Mayville Collection takes its design inspiration from the classic Louis Philippe styling. Featuring four distinct finishes – burnished brown cherry, white, black, and the newly offered stained gray traditional flare unique style, antiqued metal bale hardware and distinct framing. Make this collection a perfect addition to your traditional adult or youth bedroom.",bedroom
Mayville Collection,2147W-1*,"Traditional in design and modest in scale, the elegant Mayville Collection takes its design inspiration from the classic Louis Philippe styling. Featuring four distinct finishes – burnished brown cherry, white, black, and the newly offered stained gray – with all of the traditional flare unique to the style – antiqued metal bale hardware and distinct framing – this collection is a perfect addition to your traditional adult or youth bedroom.",bedroom
Cumberland Collection,2159-1*,"A classic addition to your transitional bedroom will be the Cumberland Collection. Traditional accents such as, the bun foot that supports each piece and rich medium brown finish on birch veneer, and selected hardwood blend with framing and lines that compliment your personal style. Hidden drawer storages in the night stand and dresser are a clever way to hide your valuables.",bedroom
Orleans Collection,2168-1*,"",bedroom
Orleans Ii Collection,2168WW-1*,"An updated look to the grandeur of Old World Europe is flawlessly executed in the Orleans II Collection. Acanthus leaf carvings feature prominently and blend with elegantly appointed moldings on each piece of this stately bedroom. Wreath accents lend dramatic flair to the bed and mirror as does the sculpted lion’s foot base, supporting each of the case pieces. Heavy pilasters rise and topped with carved finials on the neutral-toned, linen-accented headboard and footboard. The washed white and weathered brown two-tone finish lends to the unique styling of this elegant bedroom collection.",bedroom
Hillcrest Manor Collection,2169SL-1*,"Traditionally styled bedrooms require a sense of grandeur, and the Hillcrest Manor Collection meets the requirement fully. The grandly scaled case goods feature framed marble tops with hints of the rich natural tones of brown and cream. Acanthus leaf carvings along with egg and dart molding, beaded molding, pull and knob antiqued hardware, and a rich cherry finish further the traditional style. Full extension drawer glides add convenience to the collection.",bedroom
Lorenzi Collection,2220-1*,"The contemporary design of the Lorenzi Collection is enhanced by the addition of the durable black vinyl covering that encases each piece in the collection. Painted gray hardware provides a distinct contrast to the fabric’s finish. Scaled for urban living, this collection will prove to be a unique and stylish addition to your master, youth, and guest bedrooms.",bedroom
Lorenzi Collection,2220DBR-1*,"The contemporary design of the Lorenzi Collection is enhanced by the addition of the durable dark brown vinyl covering that encases each piece in the collection. Painted gray hardware provides a distinct contrast to the fabric’s finish. Scaled for urban living, this collection will prove to be a unique and stylish addition to your master, youth, and guest bedrooms. The collection is offered in two color options- Black and Dark Brown.",bedroom
Deryn Park Collection,2243-1*,"Walking into the bedroom that is occupied by the Deryn Park Collection immediately displays your love of the traditional aesthetic. Stately from every angle, sophisticated design elements blend to create this beautiful collection. With two bed options – A graceful sleigh bed or stately poster bed – the collection allows you the flexibility to fit the scale of your bedroom and the design to accommodate your personal style. Design elements include burl inlay, traditional bale and knob hardware, claw feet and shell motifs. The cherry finish is highlighted by gold tipping that accentuates the traditional feel of elegant Deryn Park Collection.",bedroom
Deryn Park Collection,2243SL-1*,"Walking into the bedroom that is occupied by the Deryn Park Collection immediately displays your love of the traditional aesthetic. Stately from every angle, sophisticated design elements blend to create this beautiful collection. With two bed options – A graceful sleigh bed or stately poster bed – the collection allows you the flexibility to fit the scale of your bedroom and the design to accommodate your personal style. Design elements include burl inlay, traditional bale and knob hardware, claw feet and shell motifs. The cherry finish is highlighted by gold tipping that accentuates the traditional feel of elegant Deryn Park Collection.",bedroom
Bethel Collection,2259GY-1*,"An updated classic addition to your transitional bedroom will be the Bethel Collection. Traditional accents, such as, turned bun feet that support each piece, and a gray, lightly wire-brushed finish on birch veneer and selected hardwoods, blend with framing and lines that compliment your personal style. Hidden drawer storages in the night stand and dresser are a clever way to hide your valuables.",bedroom
Jacqueline Collection,2299W-1*,"Glamour reigns supreme in the Jacqueline Collection. Faux alligator veneers are covered in black finish that is highlighted by the mirrored drawer fronts, while crystal button-tufting graces the cased pieces and headboard reflecting not only the light, but your personal style. With white bi-cast vinyl headboard, you can be assured that your personality is well represented.",bedroom
Marston Collection,2615DC-1*,"Refined elegance is exemplified in the design of the Marston Collection. Blending classic design elements to create a warm and welcoming bedroom. Each piece in the collection features turned feet and high polished oval bale pull and knob hardware. The neutral toned fabric inserts of the headboard and the padded footboard rail feature nailhead accent. Drawer storage features prominently on the footboard, offering that extra functional space that you need. The classic dark cherry finish further lends to the modern traditional look of the Marston Collection.",bedroom
Tayton Collection,2867-1*,"Black metal framing provides classic contrast to the brown fabric inserts on the headboard and footboard of the Tayton Collection. Quatrefoil accenting, prominent jointing and nail head embellishment further the traditional look of the bed.",bedroom
Narcine Collection,292B-1*,"Classic transitional styling takes on a rustic aesthetic in the design of the Narcine Collection. Functional storage space is a concern in any home and with the addition of the Narcine Collection, those worries are a thing of the past. Storage drawers feature prominently in the design of the bed, with two drawers on each side rail. Drawer and door storage lend to the dresser’s functionality while a mounted power strip with USB ports allows for easy charging of your electronic devices. Bluestone inserts top the nightstand, dresser and chest, perfectly complemented by the weathered gray finish of the oak veneers. Cedar drawer bottoms are featured on the bed, dresser and chest.",bedroom
Schleiger Collection,5400-1*,"Transitionally styled with a burnished brown finish, the Schleiger Collection features bold accenting that lends to a rustic industrial interpretation. Substantial framing provides a masculine profile while decorative metal and rivet banding on each piece of the group furthers the look. Each case piece features metal horizontal hardware.",bedroom
